S. No.,Product_Name,Cost(in $),Material,Lead time,Warranty,Weight,Volume(in mm^3),working area(mm^2),Cost per mm^3,Working area to volume ratio,Average density of machine
1,Hot Sale 3 Axis Cnc Router Multifunction 1325 1530 Wood CNC Router Machine for Woodworking Acrylic PVC MDF Engraving Cutting,3600.0,Wood,32.74311926605505,3.0,900.0,650000000.0,3250000.0,5.5384615384615385e-06,0.005,1.3846153846153846e-06
2,3 Axis CNC Router Wood Engraving Machine CNC Wooden Cutter for Furniture Door Making,2900.0,Wood,31.0,1.0,860.0,13616000000.0,3250000.0,2.1298472385428908e-07,0.000238689776733255,6.316098707403056e-08
3,Reasonable Prices China Milling and Drilling Cnc Machine,52000.0,Plastic,30.0,1.0,3050.0,5985000000.0,2800000.0,8.688387635756056e-06,0.00046783625730994154,5.096073517126149e-07
4,LEYO Taiwan VMC 5-axis Cnc Milling Machine 5 Axis Cnc Machine Vertical Machining Centre 3 Axis Cnc Milling Machine,19400.0,Steel,15.0,1.5,3800.0,7958000000.0,300000.0,2.4377984418195526e-06,3.769791404875597e-05,4.775069112842423e-07
5,XK6325 CNC Milling Machine,7000.0,Steel,45.0,1.0,1700.0,4230000000.0,322580.0,1.6548463356973996e-06,7.626004728132388e-05,4.0189125295508274e-07
6,Supertech P1530HD Heavy Duty Plasma Cutter | 1500x3000mm Cutting Area | High Precision CNC Plasma Cutting Machine for Steel,9000.0,Steel,30.0,1.5,1500.0,8400000000.0,5100000.0,1.0714285714285714e-06,0.0006071428571428571,1.7857142857142858e-07
8,Amada Steel CNC Turret Punching Machine,55000.0,Steel,40.0,1.0,14000.0,50211670000.0,1500000.0,1.0953628907383482e-06,2.9873533383773134e-05,2.788196449152159e-07
9,3 Axis Cnc Machine for Metal Cnc Milling Machine Vmc1160 Ultra Precision Cnc Machining Center,9999.0,Steel,20.0,1.0,6800.0,21700000000.0,720000.0,4.6078341013824886e-07,3.3179723502304144e-05,3.1336405529953916e-07
10,Cnc Machine Price Wood Cnc Machine 1325S CNC Woodworking Machine for Furniture,17500.0,Wood,25.0,1.0,1800.0,16872000000.0,3250000.0,1.0372214319582741e-06,0.00019262683736367948,1.0668563300142247e-07
11,Cutter Machine CNC Fiber Laser Cutting Machine Sheet Metal 4000*1500mm 2000W with Factory Price,2350.0,Steel,32.74311926605505,3.0,2550.0,12000000000.0,6000000.0,1.9583333333333335e-07,0.0005,2.125e-07
12,Medium Working Size Best Sale 6090 Woodworking Mini Cnc Machine,2300.0,Aluminum,15.0,1.0,250.0,2880000000.0,540000.0,7.986111111111111e-07,0.0001875,8.680555555555556e-08
13,Hot New Small CNC 600x900mm Hobby Cnc 6090 Cnc Router Machine,1800.0,Aluminum,7.0,3.0,150.0,2761836000.0,540000.0,6.51740364018718e-07,0.0001955221092056154,5.4311697001559834e-08
14,Hot Selling Professional CNC Manufacturer CK52ST Servo Turret 3 Axis Robotic Arm Low Price CNC Machine,22600.0,Aluminum,45.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
15,Direct Factory Superior Customer Care Competitive Price 3 Axis Cnc Milling Machine for Sale,23000.0,Iron,20.0,1.0,4000.0,13455000000.0,378000.0,1.7094017094017095e-06,2.8093645484949833e-05,2.9728725380899293e-07
16,Small Cnc Machine Vmc640 Mini Cnc Milling Machine Vertical Machining Center with CE Certificate,29000.0,Aluminum,31.0,1.0,2300.0,7480000000.0,240000.0,3.877005347593583e-06,3.20855614973262e-05,3.0748663101604277e-07
17,CNC Lathe Machine Metal CNC Milling Machine and Vertical Machining Center EDM Wire Cutting Machine,3500.0,Steel,30.0,1.0,1350.0,3654000000.0,220500.0,9.578544061302681e-07,6.03448275862069e-05,3.6945812807881775e-07
18,"New Design 3 Axis 1325 Cnc Router Machine for Wood , Hobby Cnc Machine with Best Price",6000.0,Wood,32.74311926605505,1.0,1500.0,650000000.0,3250000.0,9.23076923076923e-06,0.005,2.3076923076923077e-06
19,Auto Feeding High Efficiency Automatic CNC Studs Bolts Stud Welder Welding 2 Axis 3 Weld Head Machine for Beams with Multi-Head,35000.0,Steel,25.0,1.0,1800.0,24840000000.0,2640000.0,1.4090177133655394e-06,0.00010628019323671498,7.246376811594203e-08
20,GMF2519 PLC Controlled Gantry CNC Planer Milling Machining Center Metal Processing CNC Machine,130900.0,Steel,60.0,1.0,26000.0,145420506000.0,4000000.0,9.001481537961366e-07,2.750643709079103e-05,1.787918410901417e-07
21,TCK6350b 3 Axis CNC Machine for Precision Metal Turning with High Performance Spindle and Enhanced Productivity,23000.0,Aluminum,15.0,1.0,4300.0,10914750000.0,1880304.0575808103,2.1072402024782978e-06,0.00017227183926162397,3.9396229872420347e-07
22,Hot Sale Multifunctional Machine Tool Automatic Milling Machine CNC Mini CNC Lathe Machine,55797.0,Steel,30.0,1.0,4700.0,8403782992.0,1880304.0575808103,6.639509855634787e-06,0.00022374495621445365,5.592719379443967e-07
24,Leyan Vertical Metal Cnc Machine Center Heavy Duty Cnc Milling Machine,69007.0,Metal,30.0,1.0,12000.0,38668480000.0,1280000.0,1.784580102450368e-06,3.3101895911088305e-05,3.1033027416645287e-07
25,Cnc Lathe Machine Cnc Turning Machine Cnc Desktop 3 Axis for Metal Direct Sales Diy,50000.0,unknown,14.0,5.0,22500.0,166320000000.0,560000.0,3.0062530062530064e-07,3.367003367003367e-06,1.3528138528138527e-07
26,Cnc Turning Machine Trade Assurance Widely Used Superior Quality Cnc Turning and Lathe 2 Axis Machine,20000.0,Metal,60.0,1.0,2500.0,8096000.0,1880304.0575808103,0.0024703557312252965,0.23225099525454673,0.00030879446640316206
27,"CK52ST 3-Axis CNC Machine CE Certified, 5μm High Precision & OEM-Compatible Design for Metal /Drilling",22600.0,Steel,45.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
28,Multi Function Door CNC Machine,26000.0,Steel,30.0,1.0,3400.0,21987480000.0,3125000.0,1.1824911267685065e-06,0.00014212633735198395,1.5463345503895853e-07
29,Fanuc CNC Turret Punching Machine 32 Stations with 2 Index Stations,74000.0,Wood,60.0,1.0,13000.0,50211670000.0,1880304.0575808103,1.4737609802661412e-06,3.744755069052294e-05,2.589039559927005e-07
30,Top Quality Mini Cnc Router Machine 3 Axis ATC Cnc Router 1325 Wood Lathe Machine for Mdf Board Panel Door Making,2300.0,Aluminum,31.0,1.0,400.0,2880000000.0,540000.0,7.986111111111111e-07,0.0001875,1.3888888888888888e-07
31,Aluminum Milling Cutting Tapping Machining Cnc Machine,52000.0,Aluminum,179.0,1.0,8000.0,7500000000.0,7500000.0,6.933333333333334e-06,0.001,1.0666666666666667e-06
32,High Cost-effective Lathe CK52ST CNC Customized Automatic 3 Axis Machine,22600.0,Aluminum,25.0,1.0,4500.0,13282500000.0,1880304.0575808103,1.7014869188782232e-06,0.00014156251139324752,3.387916431394692e-07
33,Small Cnc Machine Vmc640 Mini Cnc Milling Machine Vertical Machining Center with CE Certificate,29000.0,Aluminum,31.0,1.0,2300.0,7480000000.0,240000.0,3.877005347593583e-06,3.20855614973262e-05,3.0748663101604277e-07
34,Hight Precision Desktop 5 Axis Foam Model Cnc Metal Router Manufacture Kit Complete Machine Metal 3000x6000 for 3d Statue Carv,144000.0,Metal,90.0,2.0,44000.0,624000000000.0,22750000.0,2.3076923076923078e-07,3.6458333333333336e-05,7.051282051282051e-08
35,5 Axis Cnc Router Machine for ABS Plastic Trimming Cutting,60000.0,Plastic,100.0,1.0,5000.0,5400000000.0,6000000.0,1.1111111111111112e-05,0.0011111111111111111,9.259259259259259e-07
36,High Quality swiss Type Cnc Lathe Machine CK52D High Quality CNC Lathe Machine with Most Popular Type,7000.0,unknown,30.0,1.0,4000.0,7817760000.0,150000.0,8.953971470088618e-07,1.918708172161847e-05,5.116555125764925e-07
37,Direct Factory Superior Customer Care Competitive Price 3 Axis Cnc Milling Machine for Sale,23000.0,Iron,20.0,1.0,4000.0,13455000000.0,378000.0,1.7094017094017095e-06,2.8093645484949833e-05,2.9728725380899293e-07
